1,Lezhë,Albania
2,Vlorë,Albania
3,Laçi,Albania
4,Durrës,Albania
5,Tirana,Albania
6,Korçë,Albania
7,TiziOuzu,Algeria
8,Oran,Algeria
9,ElEulma,Algeria
10,Béjaïa,Algeria
11,Chlef,Algeria
12,Algiers,Algeria
13,Relizane,Algeria
14,KilambaKiaxi,Angola
15,Lubango,Angola
16,Benguela,Angola
17,Cabinda,Angola
18,SantaFe,Argentina
19,Rosario,Argentina
20,BuenosAires,Argentina
21,LaPlata,Argentina
22,Sarandí,Argentina
23,BuenosAires,Argentina
24,Avellaneda,Argentina
25,Mendoza,Argentina
26,Rosario,Argentina
27,Cordoba,Argentina
28,Lanús,Argentina
29,Avellaneda,Argentina
30,BuenosAires,Argentina
31,VillaMercedes,Argentina
32,BuenosAires,Argentina
33,Yerevan,Armenia
34,Melbourne,Australia
35,Paddington,Australia
36,Sydney,Australia
37,Gosford,Australia
38,Robina,Australia
39,Hindmarsh,Australia
40,Canberra,Australia
41,Newcastle,Australia
42,Melbourne,Australia
43,Perth,Australia
44,Sydney,Australia
45,Perth,Australia
46,Brisbane,Australia
47,Vienna,Austria
48,Altach,Austria
49,Bregenz,Austria
50,Vienna,Austria
51,Ried,Austria
52,Kapfenberg,Austria
53,Mattersburg,Austria
54,Vienna,Austria
55,Wattens,Austria
56,Vienna,Austria
57,Wolfsberg,Austria
58,Linz,Austria
59,Graz,Austria
60,Salzburg,Austria
61,SanktPölten,Austria
62,Mattersburg,Austria
63,Salzburg,Austria
64,Ritzing,Austria
65,HallinTirol,Austria
66,Leoben,Austria
67,Melk,Austria
68,Innsbruck,Austria
69,Pasching,Austria
70,KlagenfurtamWörthersee,Austria
71,Baku,Azerbaijan
72,Imishli,Azerbaijan
73,Baku,Azerbaijan
74,Dhaka,Bangladesh
75,Borisov,Belarus
76,Grodno,Belarus
77,Brest,Belarus
78,Minsk,Belarus
79,Borisov,Belarus
80,Zhodino,Belarus
81,Minsk,Belarus
82,Mechelen,Belgium
83,Ostenda,Belgium
84,Antwerp,Belgium
85,Brussels,Belgium
86,Lokeren,Belgium
87,Geel,Belgium
88,Dikmsuide,Belgium
89,Sint-Jans-Molenbeek,Belgium
90,Beveren,Belgium
91,Boom,Belgium
92,Gent,Belgium
93,Koksijde,Belgium
94,Lier,Belgium
95,Brugge,Belgium
96,Eupen,Belgium
97,Leuven,Belgium
98,Brussels,Belgium
99,Antwerp,Belgium
100,Genk,Belgium
101,Antwerp,Belgium
102,Aalst,Belgium
103,Waregem,Belgium
104,Roeselare,Belgium
105,Sint-Truiden,Belgium
106,Mons,Belgium
107,Charleroi,Belgium
108,Liège,Belgium
109,Charleroi,Belgium
110,LaLouvière,Belgium
111,Mouscron,Belgium
112,Boussu,Belgium
113,Westerlo,Belgium
114,LaPaz,Bolivia
115,SantaCruz,Bolivia
116,SantaCruzdelaSierra,Bolivia
117,Sarajevo,Bosnia-Herzegovina
118,Gradačac,Bosnia-Herzegovina
119,Zenica,Bosnia-Herzegovina
120,BanjaLuka,Bosnia-Herzegovina
121,Ugljevik,Bosnia-Herzegovina
122,Orašje,Bosnia-Herzegovina
123,Sarajevo,Bosnia-Herzegovina
124,Bihać,Bosnia-Herzegovina
125,Posušje,Bosnia-Herzegovina
126,Mostar,Bosnia-Herzegovina
127,Gaborone,Botswana
128,SãoPaulo,Brazil
129,Barueri,Brazil
130,Chapecó,Brazil
131,SãoPaulo,Brazil
132,Manaus,Brazil
133,Cúritiba,Brazil
134,Natal,Brazil
135,PôrtoAlegre,Brazil
136,Cuiabá,Brazil
137,SãoCaetanodoSul,Brazil
138,PôrtoAlegre,Brazil
139,Pelotas,Brazil
140,Campinas,Brazil
141,Niterói,Brazil
142,Fortaleza,Brazil
143,Cúritiba,Brazil
144,SalvadordaBahia,Brazil
145,Recife,Brazil
146,SãoPaulo,Brazil
147,Recife,Brazil
148,SeteLagoas,Brazil
149,Cariacica,Brazil
150,Belém,Brazil
151,SalvadordaBahia,Brazil
152,BeloHorizonte,Brazil
153,Campinas,Brazil
154,Brasilia,Brazil
155,RiodeJaneiro,Brazil
156,PôrtoAlegre,Brazil
157,Fortaleza,Brazil
